specID,ra,dec,redshift,uMINUSr,gMINUSr
2519775057178290176,12h53m07.56s,+27d02m17.42s,0.025469,2.41458,0.75222
2523224499428550656,12h53m35.56s,+27d45m31.55s,0.024953,2.13025,0.63735
2523191788957624320,12h57m21.48s,+27d01m22.76s,0.026718,2.27026,0.67163
2264215557689600000,13h00m43.87s,+28d24m58.79s,0.020927,2.31899,0.73257
2524366616863467520,13h01m06.19s,+27d23m52.17s,0.027064,2.32122,0.69375
2524387232706488320,13h02m09.36s,+27d35m21.68s,0.021532,2.1981,0.67567
2264356295177955328,13h03m41.51s,+29d49m05.75s,0.023415,2.38131,0.61439
2524424341223925760,13h08m00.77s,+28d04m52.46s,0.019158,2.26303,0.69125
2523207456998320128,12h56m06.44s,+27d38m52.94s,0.025363,2.36518,0.6763
2522064233978423296,12h56m47.77s,+27d25m15.56s,0.025918,2.26781,0.69254
2264297746183776256,12h56m51.19s,+29d22m41.47s,0.023846,2.17495,0.63175
2245074165566564352,12h56m35.00s,+30d46m08.37s,0.026066,2.36933,0.73322
2264242770602387456,12h58m05.61s,+29d01m02.50s,0.025677,2.0655,0.57544
2264232600119830528,12h58m13.33s,+28d56m53.15s,0.025557,2.44643,0.73545
2522153844176087040,12h58m38.94s,+27d57m13.92s,0.019989,2.35218,0.67936
2524378436613466112,13h03m50.43s,+28d10m43.08s,0.021292,2.34961,0.68948
2524378161735559168,13h03m50.49s,+28d03m15.85s,0.020980,2.19393,0.62534
2524411421962299392,13h06m19.39s,+28d03m09.00s,0.024085,2.26214,0.6978
2524423241712297984,13h08m26.52s,+28d08m07.50s,0.022128,2.31789,0.67705
2524427914636716032,13h08m58.80s,+27d36m50.27s,0.024686,2.16114,0.6111
2522184080745850880,13h00m03.00s,+28d14m25.11s,0.025686,2.19425,0.62002
2522184630501664768,13h00m05.38s,+28d01m27.98s,0.019691,2.39419,0.66385
2262013792449751040,13h04m49.26s,+28d39m40.30s,0.026195,2.23846,0.66508
2524403175625091072,13h05m08.45s,+27d30m46.16s,0.023878,2.22368,0.70509
2262039081217189888,13h05m23.61s,+29d30m37.47s,0.020139,2.33278,0.72465
2524413620985554944,13h06m09.52s,+28d03m51.95s,0.025719,2.39683,0.66212
2524408398305323008,13h06m35.59s,+27d10m07.40s,0.025765,2.38636,0.72098
2524412796351834112,13h06m41.12s,+27d53m02.86s,0.023517,2.29613,0.69851
2261988778560219136,13h08m02.37s,+28d15m05.01s,0.025085,2.2847,0.65734
2261970911496267776,13h09m05.57s,+28d29m27.08s,0.025776,2.29657,0.73515
2261980257345103872,13h09m08.98s,+28d53m33.05s,0.024769,2.38539,0.69663
2523237968445990912,12h54m16.75s,+28d04m35.70s,0.022810,2.28378,0.68558
2523212129922738176,12h54m36.82s,+26d56m05.52s,0.019778,2.27122,0.70251
2522079352263305216,12h54m37.04s,+27d19m03.08s,0.024973,2.3325,0.69622
2522120858827253760,12h54m37.43s,+27d41m31.26s,0.028161,2.46957,0.73949
2522067807391213568,12h54m41.61s,+27d02m29.26s,0.023646,2.25015,0.73568
2522070006414469120,12h54m44.97s,+27d24m39.82s,0.025769,2.16599,0.70212
2522050215205169152,12h54m50.10s,+26d19m29.66s,0.022581,2.31842,0.70379
2524367991253002240,13h02m59.43s,+28d16m31.27s,0.023908,2.40336,0.76343
2524399052456486912,13h03m05.19s,+27d47m02.82s,0.025582,2.43053,0.69991
2264194666968672256,13h03m19.80s,+28d37m02.18s,0.019883,2.45869,0.75057
2524367166619281408,13h03m25.33s,+28d00m50.37s,0.026544,2.41066,0.70993
2524369090764630016,13h03m31.23s,+28d05m32.29s,0.021117,2.49987,0.74359
2261998124409055232,13h06m46.90s,+29d07m50.56s,0.026438,2.42001,0.65479
2522059835931912192,12h57m45.74s,+27d25m45.61s,0.027810,2.17743,0.62535
2523234944789014528,12h57m46.70s,+28d08m26.82s,0.021386,2.40074,0.69482
2522150545641203712,12h57m47.86s,+27d46m09.99s,0.019283,2.33187,0.71929
2523186841155299328,12h57m50.55s,+27d38m37.44s,0.022719,2.32214,0.70742
2522151645152831488,12h58m01.71s,+27d51m12.81s,0.018976,2.42877,0.72277
2264309840811681792,12h58m26.92s,+29d36m44.90s,0.019469,2.33414,0.69467
2522164289536550912,12h58m50.82s,+28d00m25.17s,0.024904,2.32466,0.68925
2522164839292364800,12h59m18.35s,+27d42m56.63s,0.022257,2.28564,0.71233
2522170611728410624,12h59m26.14s,+28d17m15.15s,0.026679,2.27295,0.6733
2523281124277381120,12h59m39.47s,+27d51m16.55s,0.031342,2.06983,0.65633
2522184355623757824,12h59m57.61s,+28d03m54.35s,0.019484,2.3306,0.67351
2522176109286549504,13h00m00.96s,+27d56m43.55s,0.022820,2.15656,0.69362
2523283048422729728,13h00m01.49s,+27d43m52.54s,0.026915,2.17813,0.66131
2264238922311690240,13h00m04.39s,+28d36m12.53s,0.022743,2.30594,0.71997
2522023552048195584,13h00m04.58s,+27d01m56.89s,0.023210,2.0795,0.68418
2264308191544240128,13h00m10.72s,+29d27m59.38s,0.022920,2.00869,0.63737
2522181331966781440,13h00m18.34s,+28d03m33.43s,0.033249,2.15712,0.57915
2522187104402827264,13h00m20.16s,+27d50m36.57s,0.026248,2.24838,0.68311
2522188203914455040,13h00m25.17s,+27d33m08.13s,0.024238,2.22712,0.71364
2524353972479748096,13h00m29.15s,+26d40m31.28s,0.023955,2.53273,0.77725
2524363593206491136,13h00m58.37s,+27d39m07.51s,0.017374,2.37879,0.72213
2523287171591333888,13h01m09.03s,+28d21m35.21s,0.023013,2.28986,0.7087
2524358095648352256,13h01m09.23s,+27d49m05.89s,0.019749,2.53011,0.75247
2524374588322768896,13h01m36.51s,+27d42m28.55s,0.026390,2.29905,0.70786
2523300915486681088,13h01m39.08s,+28d14m45.15s,0.025338,2.07242,0.63639
2264208410864019456,13h01m43.98s,+28d59m58.35s,0.021424,2.46485,0.72843
2523301190364588032,13h01m44.17s,+28d12m51.69s,0.026104,2.37156,0.7447
2524374038566955008,13h02m01.03s,+27d39m10.68s,0.023647,2.47065,0.74583
2264205112329136128,13h02m14.31s,+28d21m09.52s,0.028847,2.27407,0.71103
2522144773205157888,12h56m50.80s,+27d37m40.22s,0.026981,2.08034,0.64029
2522126081507485696,12h56m03.59s,+28d26m05.18s,0.022774,2.36293,0.69658
